"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"13 Mar 86", 29.250, 26.000, 28.000, 3582600
"14 Mar 86", 29.500, 28.000, 29.000, 1070000
"17 Mar 86", 29.750, 29.000, 29.500, 462400
"18 Mar 86", 29.750, 28.500, 28.750, 230800
"19 Mar 86", 29.000, 28.000, 28.250, 166300
"20 Mar 86", 28.250, 27.250, 27.500, 202900
"21 Mar 86", 28.000, 26.250, 27.000, 208300
"24 Mar 86", 26.750, 25.750, 26.000, 216800
"25 Mar 86", 26.500, 25.750, 26.500, 111400
"26 Mar 86", 27.500, 26.250, 27.250, 79000
"27 Mar 86", 27.750, 27.250, 27.750, 58500
"31 Mar 86", 27.750, 27.000, 27.500, 44700
